,city,country,lat,lon,date,humidity,clouds,wind,max_temp
0,asyut,EG,27.18,27.18,1535216400,46,0,13.87,93.2
1,najran,SA,17.54,17.54,1535216400,13,40,4.7,95.0
2,puerto ayora,EC,-0.74,-0.74,1535216400,65,75,17.22,77.0
3,port alfred,ZA,-33.59,-33.59,1535219917,98,0,5.73,62.95
4,ostrovnoy,RU,68.05,68.05,1535219917,65,56,24.18,64.48
5,pavlivka,UA,48.13,48.13,1535219917,29,0,8.75,68.08
6,kralendijk,BQ,12.15,12.15,1535216100,59,40,20.8,89.6
7,mahebourg,MU,-20.41,-20.41,1535216400,69,75,12.75,73.4
8,ushuaia,AR,-54.81,-54.81,1535216400,48,40,8.05,44.6
9,hermanus,ZA,-34.42,-34.42,1535219918,100,92,14.79,51.7
10,pangnirtung,CA,66.15,66.15,1535216400,81,75,12.75,44.6
11,rorvik,NO,64.86,64.86,1535219919,100,92,10.65,50.98
12,port elizabeth,US,39.31,39.31,1535216160,56,20,5.82,79.7
13,tecoanapa,MX,16.99,16.99,1535215440,74,40,4.7,86.0
14,busselton,AU,-33.64,-33.64,1535219478,100,64,6.17,52.96
15,jamestown,AU,-33.21,-33.21,1535219716,77,0,2.37,34.33
16,hovd,NO,63.83,63.83,1535217600,76,75,8.05,53.6
17,east london,ZA,-33.02,-33.02,1535216400,63,0,6.93,62.6
18,hobart,AU,-42.88,-42.88,1535218200,70,0,10.29,46.4
19,saint-philippe,CA,45.36,45.36,1535218500,53,40,5.82,84.2
20,carballo,ES,43.21,43.21,1535218200,68,20,9.17,68.0
21,tevriz,RU,57.51,57.51,1535219921,88,56,8.52,60.52
22,tual,ID,-5.67,-5.67,1535219921,100,88,7.96,78.7
23,albany,US,42.65,42.65,1535216100,55,75,8.05,80.6
24,rikitea,PF,-23.12,-23.12,1535219922,100,0,14.0,72.22
25,ixtapa,MX,20.71,20.71,1535215500,74,40,2.15,86.0
26,tuktoyaktuk,CA,69.44,69.44,1535216400,87,40,5.82,46.4
27,samborondon,EC,-2.27,-2.27,1535216400,65,90,3.36,77.0
28,bonavista,CA,48.65,48.65,1535219686,65,0,9.42,74.11
29,hilo,US,19.71,19.71,1535215980,93,75,6.93,73.04
30,simpang,MY,4.82,4.82,1535216400,69,75,5.82,80.6
31,arraial do cabo,BR,-22.97,-22.97,1535220000,65,75,16.11,77.0
32,barrow,AR,-38.31,-38.31,1535219924,52,0,9.42,53.68
33,esperance,TT,10.24,10.24,1535216400,74,75,13.87,87.8
34,ilulissat,GL,69.22,69.22,1535215800,87,75,11.41,42.8
35,norman wells,CA,65.28,65.28,1535216400,100,90,4.7,48.2
36,tigil,RU,57.8,57.8,1535219925,97,92,6.73,52.33
37,terney,RU,45.05,45.05,1535219925,100,80,10.65,59.35
38,bay roberts,CA,47.58,47.58,1535216400,57,90,12.75,77.0
39,hithadhoo,MV,-0.6,-0.6,1535219926,100,68,5.95,79.78
40,margate,AU,-43.03,-43.03,1535218200,70,0,10.29,46.4
41,egvekinot,RU,66.32,66.32,1535219926,100,92,2.59,39.91
42,nabire,ID,-3.36,-3.36,1535219458,98,80,1.92,66.82
43,georgetown,GY,6.8,6.8,1535216400,59,75,11.41,89.6
44,homer,US,59.64,59.64,1535215980,86,90,4.61,53.96
45,khatanga,RU,71.98,71.98,1535219927,77,20,11.1,49.45
46,sampit,ID,-2.54,-2.54,1535219928,87,88,4.72,77.26
47,madison,US,43.07,43.07,1535218500,69,20,5.5,80.06
48,saldanha,PT,41.42,41.42,1535219928,29,0,3.6,81.4
49,rondonopolis,BR,-16.46,-16.46,1535219928,51,80,7.07,87.43
50,clinton,US,41.84,41.84,1535218620,74,1,4.7,84.02
51,berlevag,NO,70.86,70.86,1535219929,93,44,8.75,53.95
52,broome,GB,52.47,52.47,1535217600,63,20,5.82,63.14
53,tuatapere,NZ,-46.13,-46.13,1535219930,94,0,19.71,49.72
54,nanortalik,GL,60.14,60.14,1535219930,99,64,14.0,42.25
55,faanui,PF,-16.48,-16.48,1535219931,99,88,9.08,79.96
56,bundaberg,AU,-24.87,-24.87,1535219931,100,64,8.97,64.93
57,komsomolskiy,RU,67.55,67.55,1535219931,70,0,5.5,45.13
58,krasnorechenskiy,RU,44.63,44.63,1535219932,97,80,2.15,55.57
59,bluff,AU,-23.58,-23.58,1535219932,95,68,7.18,59.89
60,marsh harbour,BS,26.54,26.54,1535219493,95,0,12.77,85.81
61,ketchikan,US,55.34,55.34,1535216160,80,90,13.87,59.0
62,hualmay,PE,-11.1,-11.1,1535219449,67,24,5.5,68.98
63,helena,US,46.59,46.59,1535219580,40,1,4.7,66.92
64,amapa,HN,15.09,15.09,1535220000,55,40,3.36,89.6
65,cape town,ZA,-33.93,-33.93,1535217000,93,90,18.34,51.8
66,zaykovo,RU,57.56,57.56,1535219933,90,48,10.2,61.42
67,qaanaaq,GL,77.48,77.48,1535219934,92,0,4.16,37.84
68,tiksi,RU,71.64,71.64,1535219934,100,0,6.4,38.38
69,cockburn town,TC,21.46,21.46,1535219934,94,80,18.7,84.37
70,kapaa,US,22.08,22.08,1535215980,90,90,19.46,78.98
71,yellowknife,CA,62.45,62.45,1535216400,66,75,11.41,53.6
72,san patricio,PY,-26.98,-26.98,1535219935,58,0,5.5,60.34
73,butaritari,KI,3.07,3.07,1535219444,100,0,3.15,84.1
74,gat,SN,14.69,14.69,1535219328,61,12,12.44,88.51
75,mataura,NZ,-46.19,-46.19,1535219936,92,0,9.08,37.39
76,bambous virieux,MU,-20.34,-20.34,1535216400,69,75,12.75,73.4
77,avarua,CK,-21.21,-21.21,1535216400,88,20,4.7,69.8
78,carayao,PY,-25.18,-25.18,1535219937,48,0,8.75,63.4
79,faya,SA,18.39,18.39,1535216400,53,20,5.82,78.8
80,la ronge,CA,55.1,55.1,1535216400,81,90,6.93,48.2
81,vaini,IN,15.34,15.34,1535219938,98,92,5.73,67.63
82,punta arenas,CL,-53.16,-53.16,1535216400,56,75,12.75,44.6
83,batemans bay,AU,-35.71,-35.71,1535219938,100,44,3.15,45.67
84,aklavik,CA,68.22,68.22,1535216400,81,75,4.7,48.2
85,tautira,PF,-17.73,-17.73,1535218200,69,20,3.36,78.8
86,meulaboh,ID,4.14,4.14,1535219447,100,24,2.59,79.51
87,eureka,US,40.8,40.8,1535218500,72,1,5.82,62.6
88,nantucket,US,41.28,41.28,1535217300,47,1,8.05,77.0
89,longyearbyen,NO,78.22,78.22,1535215800,64,75,21.92,39.2
90,kodiak,US,39.95,39.95,1535219580,61,1,11.41,89.06
91,farafangana,MG,-22.82,-22.82,1535219940,96,0,9.08,72.13
92,sandviken,SE,60.62,60.62,1535219941,74,88,7.63,56.92
93,husavik,CA,50.56,50.56,1535219336,90,0,13.22,67.18
94,bilma,NE,18.69,18.69,1535219450,27,32,8.52,95.53
95,neftcala,AZ,39.37,39.37,1535219941,86,0,5.06,73.3
96,saint george,GR,39.45,39.45,1535217600,65,40,5.82,80.6
97,cap malheureux,MU,-19.98,-19.98,1535216400,69,75,12.75,73.4
98,chapais,CA,49.78,49.78,1535216400,64,75,4.7,71.6
99,chokurdakh,RU,70.62,70.62,1535219943,93,88,5.17,39.28
100,tromso,NO,69.65,69.65,1535217600,87,75,18.34,51.8
101,porto belo,BR,-27.15,-27.15,1535216400,40,0,19.46,69.8
102,yeniseysk,RU,58.45,58.45,1535219943,96,8,2.59,50.71
103,torbay,CA,47.66,47.66,1535216400,57,90,12.75,77.0
104,luderitz,NA,-26.65,-26.65,1535219944,94,0,2.15,53.5
105,kissidougou,GN,9.19,9.19,1535219944,100,92,8.08,72.22
106,atar,MR,20.52,20.52,1535219945,11,0,8.52,108.76
107,galbshtadt,RU,53.23,53.23,1535219945,94,68,8.08,57.1
108,chuy,UY,-33.69,-33.69,1535219945,78,0,28.32,53.05
109,nikolskoye,RU,59.7,59.7,1535216400,77,75,6.71,68.0
110,westport,IE,53.8,53.8,1535218200,62,90,6.93,57.2
111,kieta,PG,-6.22,-6.22,1535219946,98,12,1.7,76.09
112,lagoa,PT,37.14,37.14,1535218200,61,0,5.82,82.4
113,tasiilaq,GL,65.61,65.61,1535215800,100,75,9.17,42.8
114,palmas de monte alto,BR,-14.26,-14.26,1535219947,29,0,9.64,90.49
115,bodden town,KY,19.28,19.28,1535216400,70,40,10.29,87.8
116,kavaratti,IN,10.57,10.57,1535219948,95,32,12.66,82.66
117,chebsara,RU,59.2,59.2,1535219948,66,0,7.18,62.05
118,umm kaddadah,SD,13.6,13.6,1535219948,48,64,9.75,84.73
119,kuna,US,43.49,43.49,1535218500,32,1,6.93,70.7
120,basco,US,40.33,40.33,1535218500,62,1,13.87,89.6
